 Magic,rel lexinfo,Lexinfo, OLIA, Compl-it
gend,gender,gender,,
m,,masculine,,
f,,feminine,,
numb,number,number,,
s,,singular,,
p,,plural,,
tense,tense,tense,,
pres,,present,,
past ,,past,,
fut ,,future,,
imperf,,imperfect,,
mood,mood,mood,,
ind ,,indicative,,
subj,,subjunctive,,
cond,,conditional,,
imp ,,imperative,,
part ,,participle,,
ger ,,gerundive,,
inf ,,infinitive,,
person,person,person,,
1,,firstPerson,,
2,,secondPerson,,
3,,thirdPerson,,
case,case,case,,
nom ,,nominativeCase,,
acc ,,accusativeCase,,
dat ,,dativeCase,,
,,,,
,,,,
degree,degree,degree,hasDegree,
pos ,,positive,,
comp ,,comparative,,
sup ,,superlative,,
,,,,
aug,,olia:augmentative,
pej,,,,complit:pej
dim,,,olia:diminutive, 
end,,,,complit:end
