Lexico,rel,Lexinfo
gender,gender,gender
MASCULINE,,masculine
FEMININE,,feminine
number,number,number
SINGULAR,,singular
PLURAL,,plural
tense,tense,tense
PRESENT,,present
PAST,,past
FUTURE,,future
IMPERFECT,,imperfect
mood,mood,mood
INDICATIVE,,indicative
SUBJUNCTIVE,,subjunctive
CONDITIONAL,,conditional
IMPERATIVE,,imperative
PARTICIPLE,,participle
GERUND,,gerundive
INFINITIVE,,infinitive
person,person,person
1,,firstPerson
2,,secondPerson
3,,thirdPerson
degree,degree,degree
SUPERLATIVE,,superlative
